"strategy","threshold","nb"
"Policy A, budget 5",0.25,-0.151714551346277
"Policy A, budget 5",0.255,-0.156253401911631
"Policy A, budget 5",0.26,-0.160853588295436
"Policy A, budget 5",0.265,-0.165516362249089
"Policy A, budget 5",0.27,-0.170243009818545
"Policy A, budget 5",0.275,-0.17503485252689
"Policy A, budget 5",0.28,-0.179893248606184
"Policy A, budget 5",0.285,-0.184819594280993
"Policy A, budget 5",0.29,-0.189815325106152
"Policy A, budget 5",0.295,-0.194881917361454
"Policy A, budget 5",0.3,-0.200020889506118
"Policy B, severity (budget 5)",0.01,0.0457905710958867
"Policy B, severity (budget 5)",0.015,0.0457905710958867
"Policy B, severity (budget 5)",0.02,0.0457905710958867
"Policy B, severity (budget 5)",0.025,0.0457905710958867
"Policy B, severity (budget 5)",0.03,0.0457905710958867
"Policy B, severity (budget 5)",0.035,0.0457905710958867
"Policy B, severity (budget 5)",0.04,0.0457905710958867
"Policy B, severity (budget 5)",0.045,0.0457905710958867
"Policy B, severity (budget 5)",0.05,0.0457905710958867
"Policy B, severity (budget 5)",0.055,0.0457905710958867
"Policy B, severity (budget 5)",0.06,0.0457905710958867
"Policy B, severity (budget 5)",0.065,0.0457905710958867
"Policy B, severity (budget 5)",0.07,0.0457905710958867
"Policy B, severity (budget 5)",0.075,0.0457905710958867
"Policy B, severity (budget 5)",0.08,0.0457905710958867
"Policy B, severity (budget 5)",0.085,0.0457905710958867
"Policy B, severity (budget 5)",0.09,0.0457905710958867
"Policy B, severity (budget 5)",0.095,0.0457905710958867
"Policy B, severity (budget 5)",0.1,0.0457905710958867
"Policy B, severity (budget 5)",0.105,0.0457905710958867
"Policy B, severity (budget 5)",0.11,0.0457905710958867
"Policy B, severity (budget 5)",0.115,0.0457905710958867
"Policy B, severity (budget 5)",0.12,0.0457905710958867
"Policy B, severity (budget 5)",0.125,0.0457905710958867
"Policy B, severity (budget 5)",0.13,0.0457905710958867
"Policy B, severity (budget 5)",0.135,0.0457905710958867
"Policy B, severity (budget 5)",0.14,0.0457905710958867
"Policy B, severity (budget 5)",0.145,0.0457905710958867
"Policy B, severity (budget 5)",0.15,0.0457905710958867
"Policy B, severity (budget 5)",0.155,0.0457905710958867
"Policy B, severity (budget 5)",0.16,0.0457905710958867
"Policy B, severity (budget 5)",0.165,0.0457905710958867
"Policy B, severity (budget 5)",0.17,0.0457905710958867
"Policy B, severity (budget 5)",0.175,0.0457905710958867
"Policy B, severity (budget 5)",0.18,0.0457905710958867
"Policy B, severity (budget 5)",0.185,0.0457905710958867
"Policy B, severity (budget 5)",0.19,0.0457905710958867
"Policy B, severity (budget 5)",0.195,0.0457905710958867
"Policy B, severity (budget 5)",0.2,0.0457905710958867
"Policy B, severity (budget 5)",0.205,0.0457905710958867
"Policy B, severity (budget 5)",0.21,0.0457905710958867
"Policy B, severity (budget 5)",0.215,0.0457905710958867
"Policy B, severity (budget 5)",0.22,0.0457905710958867
"Policy B, severity (budget 5)",0.225,0.0457905710958867
"Policy B, severity (budget 5)",0.23,0.0457905710958867
"Policy B, severity (budget 5)",0.235,0.0457905710958867
"Policy B, severity (budget 5)",0.24,0.0457905710958867
"Policy B, severity (budget 5)",0.245,0.0457905710958867
"Policy B, severity (budget 5)",0.25,0.0457905710958867
"Policy B, severity (budget 5)",0.255,0.0457905710958867
"Policy B, severity (budget 5)",0.26,0.0457905710958867
"Policy B, severity (budget 5)",0.265,0.0457905710958867
"Policy B, severity (budget 5)",0.27,0.0457905710958867
"Policy B, severity (budget 5)",0.275,0.0457905710958867
"Policy B, severity (budget 5)",0.28,0.0457905710958867
"Policy B, severity (budget 5)",0.285,0.0457905710958867
"Policy B, severity (budget 5)",0.29,0.0457905710958867
"Policy B, severity (budget 5)",0.295,0.0457905710958867
"Policy B, severity (budget 5)",0.3,0.0457905710958867
"Policy D, context (budget 5)",0.01,0.00952633377015299
"Policy D, context (budget 5)",0.015,0.00691187768324263
"Policy D, context (budget 5)",0.02,0.00427074347299644
"Policy D, context (budget 5)",0.025,0.00160252070674773
"Policy D, context (budget 5)",0.03,-0.00109320951069941
"Policy D, context (budget 5)",0.035,-0.00381687475630664
"Policy D, context (budget 5)",0.04,-0.00656891151488893
"Policy D, context (budget 5)",0.045,-0.00934976541230455
"Policy D, context (budget 5)",0.05,-0.0121598914560088
"Policy D, context (budget 5)",0.055,-0.0149997542832442
"Policy D, context (budget 5)",0.06,-0.0178698284171524
"Policy D, context (budget 5)",0.065,-0.0207705985311024
"Policy D, context (budget 5)",0.07,-0.0237025597215465
"Policy D, context (budget 5)",0.075,-0.0266662177897251
"Policy D, context (budget 5)",0.08,-0.0296620895325578
"Policy D, context (budget 5)",0.085,-0.0326907030430717
"Policy D, context (budget 5)",0.09,-0.0357525980207342
"Policy D, context (budget 5)",0.095,-0.0388483260920724
"Policy D, context (budget 5)",0.1,-0.0419784511419812
"Policy D, context (budget 5)",0.105,-0.0451435496561346
"Policy D, context (budget 5)",0.11,-0.0483442110749416
"Policy D, context (budget 5)",0.115,-0.0515810381594977
"Policy D, context (budget 5)",0.12,-0.0548546473700147
"Policy D, context (budget 5)",0.125,-0.0581656692572233
"Policy D, context (budget 5)",0.13,-0.0615147488672734
"Policy D, context (budget 5)",0.135,-0.0649025461606767
"Policy D, context (budget 5)",0.14,-0.0683297364458638
"Policy D, context (budget 5)",0.145,-0.0717970108279536
"Policy D, context (budget 5)",0.15,-0.0753050766733621
