rxnorm_ingredient,rxcui,ddinter_drug,match_method,prescriptions,routes,unmatched_reason
doxorubicin,3639,Doxorubicin,exact,8,systemic,
alteplase,8410,Alteplase,exact,8,systemic,
allopurinol,519,Allopurinol,exact,8,systemic,
carboplatin,40048,Carboplatin,exact,8,systemic,
desflurane,27340,Desflurane,exact,7,inhalation,
ticagrelor,1116632,Ticagrelor,exact,7,systemic,
norepinephrine,7512,Norepinephrine,exact,7,systemic,
fosfomycin,4550,Fosfomycin,exact,6,systemic,
tamoxifen,10324,Tamoxifen,exact,6,systemic,
sodium chloride,9863,Sodium chloride,exact,5,systemic,
ribociclib,1873916,Ribociclib,exact,5,systemic,
sevoflurane,36453,Sevoflurane,exact,5,inhalation,
azithromycin,18631,Azithromycin,exact,5,systemic,
atenolol,1202,Atenolol,exact,4,systemic,
milnacipran,588250,Milnacipran,exact,4,systemic,
cyclosporine,3008,Cyclosporine,exact,4,systemic,
atomoxetine,38400,Atomoxetine,exact,4,systemic,
duloxetine,72625,Duloxetine,exact,4,systemic,
tenofovir alafenamide,1721603,,unmatched,4,systemic,no tenofovir entry; only Adefovir dipivoxil and Cidofovir
levothyroxine,10582,Levothyroxine,exact,4,systemic,
bictegravir,1999660,Bictegravir,exact,4,systemic,
emtricitabine,276237,Emtricitabine,exact,4,systemic,
terfenadine,42330,Terfenadine,exact,3,systemic,
lorazepam,6470,Lorazepam,exact,3,systemic,
methylphenidate,6901,Methylphenidate,exact,3,systemic,
ferrous fumarate,24941,Ferrous fumarate,exact,3,systemic,
fluoxetine,4493,Fluoxetine,exact,3,systemic,
clindamycin,2582,Clindamycin,exact,3,systemic,
pravastatin,42463,Pravastatin,exact,3,systemic,
palbociclib,1601374,Palbociclib,exact,2,systemic,
anastrozole,84857,Anastrozole,exact,2,systemic,
abemaciclib,1946825,Abemaciclib,exact,2,systemic,
fulvestrant,282357,Fulvestrant,exact,2,systemic,
tacrine,10318,Tacrine,exact,2,systemic,
sertraline,36437,Sertraline,exact,2,systemic,
nebivolol,31555,Nebivolol,exact,2,systemic,
aztreonam,1272,Aztreonam,exact,2,systemic,
lovastatin,6472,Lovastatin,exact,2,systemic,
enalapril,3827,Enalapril,exact,2,systemic,
pregabalin,187832,Pregabalin,exact,1,systemic,
cefaclor,2176,Cefaclor,exact,1,systemic,
cefpodoxime,20489,Cefpodoxime,exact,1,systemic,
methotrexate,6851,Methotrexate,exact,1,systemic,
quinapril,35208,Quinapril,exact,1,systemic,
irbesartan,83818,Irbesartan,exact,1,systemic,
norethynodrel,7515,,unmatched,1,systemic,not present at any spelling
penicillin G,7980,Benzylpenicillin,curated_inn_synonym,1,systemic,
colchicine,2683,Colchicine,exact,1,systemic,
benazepril,18867,Benazepril,exact,1,systemic,
labetalol,6185,Labetalol,exact,1,systemic,
rosuvastatin,301542,Rosuvastatin,exact,1,systemic,
propranolol,8787,Propranolol,exact,1,systemic,
reteplase,76895,Reteplase,exact,1,systemic,
ceftriaxone,2193,Ceftriaxone,exact,1,systemic,
timolol,10600,Timolol,exact,1,ophthalmic,
dorzolamide,60207,Dorzolamide (ophthalmic),curated_inn_synonym,1,ophthalmic,
